question,answer,contexts,latency_seconds
Can I start accepting payments on my site while my Wix Payments account is still under verification?,I don't know.,"['e content. In some cases, we may need your cooperation in order to complete the verification process. From the time of the first transaction on your site, you have 30 days to complete your account setup or verification process. If you do not complete these processes within 30 days, your Wix Payments account will be suspended and you will not be able to accept payments through your site.\xa0ActiveYou have connected your Wix Payments account and your site is accepting payments. You are all set to receive weekly payouts to your bank account when applicable. \n\nNote: After your account is active, you may still be required to go through the verification process.\xa0SuspendedYou have not completed account setup or verification process within 30 days as required. You can reactivate your account by compl', ""Wix Payments Verification Process\nImportant:Wix Payments is not yet available to all users.You can start accepting payments on your site using Wix Payments almost immediately. However,\xa0 we need to verify your identity before your account can be fully activated.\xa0To verify your identity:\nFor an individual account: You must complete your Wix Payments account setup within the same country as your bank is located.\xa0 For a business account: The country where your company is registered must match the country where your company's bank is located. This must be the same country in which you complete your Wix Payments account setup. For a sole proprietor (United Kingdom): The country where your company is registered must match the country where your company's bank is located. This must be the same cou"", ""Completing Your Wix Payments Account Setup\nAfter connecting to Wix Payments as your payment provider, you can begin receiving payments through your site immediately. However, in order for Wix Payments to send a payout to your bank account, you must complete the setup process within 30 days from receiving your first payment.Important:If you do not complete account setup within 30 days, your Wix Payments account will be suspended and you will not be able to accept any more payments through your site.If you do not complete account setup within 60 days, previous transactions (if any) will be refunded to your customers. \xa0Completing your Wix Payments account setup\nGo to Accept Payments in your site's dashboard. Click Complete Setup under Wix Payments.\xa0\nSelect an option under Business Type:\nNote:""]",4.221018314361572
"I am inquiring about purchasing the yearly premium plan for $17.00, which includes a free domain for 1 year. However, the voucher does not show up at checkout. Do I need to purchase the plan first and then will the voucher be available to activate?","You do not need to purchase the plan first to use the voucher, but you do need to redeem it within 2 months of purchasing your plan. If you already have a domain name, you can still use the domain voucher to get another domain name for free, but this is only valid for one year and does not include additional years of domain registration or additional features like domain privacy.","['sed a monthly plan:\xa0The free domain voucher is offered as a gift with the purchase of selected site plans with a billing cycle of 1 year or longer. Monthly plans do not offer the free domain voucher.\xa0 You purchased your domain name before you purchased an site plan:\xa0If you purchased your domain name prior to purchasing your plan, it is not possible to apply the voucher retroactively or get a refund for the domain. If you received the voucher and already have a domain name, you can use it to get another domain name for free.\xa0 Additional Features:\xa0The free domain voucher applies to the first year of domain registration for a new domain. It does not include domain privacy or additional years of domain registration. You can still use the domain voucher to cover part of the cost while purchasin', 'About Your Free Domain Voucher\nAs a promotional gift, you receive a 1 year free domain voucher with the initial purchase of selected yearly or multi-year Premium or Studio plans.Where can I view my vouchers?Go to the Premium Vouchers page in your Wix account to see and claim your vouchers.\xa0Note:This voucher is only included with the first-time purchase of a site plan. It is not included when renewing a plan or upgrading an existing plan. The voucher is included when changing your subscription period from monthly to yearly.Claiming the voucherThe\xa01 year free domain voucher\xa0enables you to claim a free domain for one year. The voucher is valid for two months from the date that you purchased your plan.\xa0Tip:You can check the expiration date of your voucher in the Premium Vouchers section of you', ""Using Your Free 1 Year Domain Voucher\nYou receive the 1 year free domain voucher with the initial purchase of selected yearly or multi-year Premium or Studio site plans. This voucher enables you to register a domain for free for one year. You can renew the domain the following year for the regular price.\xa0In this article, learn more about:\nUsing your voucher Frequently asked questions (FAQs)Using your voucherYour voucher must be redeemed within 2 months of purchasing your plan. You can check the expiration date of your voucher in the Premium Vouchers section of your account.You will need to enter your payment information when claiming your voucher, but you won't be charged. This allows us to process your renewal after the first year to make sure your domain stays live.To use your voucher:\nG""]",8.252758026123047
I'm want to know how much it would cost to upgrade my email plan.,"To find out how much it would cost to upgrade your email plan, you need to check the pricing plans available and select the one that suits your business needs.","[""Email Marketing: Upgrading Your Email Marketing Plan\nTo get access to more email marketing features upgrade your email marketing plan and choose the package that works for your business.To upgrade your email marketing plan:\nGo to Email Marketing\xa0in your site's dashboard. Under Monthly Balance click Upgrade. Choose a plan that works best for you and checkout.Want to compare plans before upgrading?Compare the different email marketing plans to see which is right for your business. Choose your plan by the number of emails you’re planning to send a month and any additional features you are interested in.\xa0"", 'Pricing Plans Request: Additional Email Notifications for Pricing Plan Customers\nCurrently, customers receive a confirmation email after they purchase their plan. They do not receive additional email notifications such as renewal reminders, notifications about changes etc.We are always working to update and improve our products, and your feedback is hugely appreciated.', ""limit.Upgrading your email marketing balanceTo send more emails per month, upgrade your email marketing plan and choose the package that works for your business.Want to compare plans before upgrading?Compare the different email marketing plans to see which is right for your business.To upgrade your email marketing balance:\nGo to Email Marketing\xa0in your site's dashboard. Under Monthly Balance click\xa0Upgrade to Send More. Select an email marketing plan and checkout.FAQsClick a question below to learn more about your email marketing monthly balance.\xa0When does my balance reset? The date your balance and email quota resets is determined by your plan.\nFree email marketing plans: The quota resets on the first day of each month at 00:01 UTC for all time zones. Premium email marketing plans: The quo""]",5.218166351318359
I want to know if the Wix store function work for selling services instead of just physical goods,"I don't know. The context provided only talks about selling physical or digital products through an online store, and it does not mention anything about services.","[' bookings, services, coaching, consultations and more. Wix Stores reports focus on purchases and transactions made if you have an online store.', 'Wix Stores: An Overview of Store Features\nWix Stores is an eCommerce platform that offers you tons of exciting features to help you create a stunning and professional online store.We are constantly improving the Wix Stores and adding new options. Take a look at some of the things you can do.Sell your productsYou can offer up to 50,000 products in your online store.\xa0Sell physical or digital products, increase revenue with product subscriptions, connect the right payment method for your business, and start taking secure payments online.\nSell digital products Sell product subscriptions Sell gift cards Display different images for each product option Display product videos Connect multiple payment methods Let customers pay in installments Import store products from other platformsSell dropship', 'Wix Stores: Understanding Dropshipping\nSell merchandise without paying for inventory, managing storage solutions, or dealing with order fulfillment, by connecting to a dropshipping service.\xa0Dropshippers offer thousands of products from a variety of suppliers. After connecting to your favorite dropshipping app, you can choose which products you want to add to your store. When a customer purchases one of these products, the supplier fulfills the order directly to the customer.\xa0Connecting to a dropshipping appTo get started, connect your Wix store with one of the dropshipping options Wix offers.Next, select products that work with your business. For example, if you have a gym, you might want to sell gym equipment, gym bags, and active wear. \xa0After setting the product markup to determine how m']",5.249780654907227
How can I add discounts to my service prices when customers pay for a plan?,I don't know.,"[' one. Scroll down to the Price and Payment section. Choose the relevant price option in the Price type drop-down:\n    \nFixed Price: Set a standard price for the service. No Fee: Choose this option for free service. Varied prices: Create different price options depending on either the client type or the staff member.\nNote:\xa0This feature is not available for everyone yet.\xa0 Custom Price: Describe how you charge for the service, for example, ""Price negotiable"".   Click Create New Plan next to Pricing Plans (Memberships & Packages). Click Package.\xa0 Click Next.\xa0 Enter the plan name and description. Choose the services included in the package:\n    \nClick the What services are included? drop-down.\xa0 Select the checkbox next to the relevant services.\nTip: Click Select All Services to create an all-in', 'You can also offer discounts by including the appointment in a package or membership.\xa0Let your clients pay per session, with a membership plan or package, or have both options to give clients more flexibility when paying.To set your price & payment details:\nScroll down to the Price & payment section.\xa0 Select the relevant option under Choose how clients can pay for this service:\n\nPer session: Clients pay for sessions based on the price you set. With a plan: Clients buy a membership or package to book sessions. Per session or with a plan: Clients pay either per session or with a membership or package.\xa0   Depending on the payment method you chose, follow the steps to set it up:Per sessionSelect the relevant pricing option from the Price type drop-down:\nFixed price: A set amount you choose:\n  ', "" also create a service that is only available as part of a pricing plan.To offer an appointment or class as part of a membership plan or package:\nGo to Booking Services\xa0in your site's dashboard. Create a new appointment or class or edit an existing one.\xa0 Complete the General Info and Service Details sections. Scroll down to Pricing Plans (Memberships & Packages) in the Price & Payment section.\xa0 Click With a plan or Per session or with a plan under Choose how clients pay for this service.\xa0 Choose what you want to do:\n    \nClick + Create New Plan to add your first plan. Click Connect an Existing Plan to connect the service to your existing plans.  Tip:Click here to learn more about offering exclusive services to your Pricing Plan holders.Frequently Asked Questions (FAQs)We are here to help w""]",4.195436000823975
"I am trying to change the order of the items within a CMS collection on my Wix site, but the provided steps did not work for me.","You are trying to reorder the items within a CMS collection on your Wix site, but the steps you've tried didn't seem to work.","[""at the top that you want to sort items in.\xa0\nClick Sort at the top of your collection. Click + Add a Sort. Click the Sort by drop-down and choose the field you want to sort. Select a sorting option under Select the order (e.g. A-Z, Low-High, Oldest-Newest). The options vary depending on the field type. Click Add Sort.\n(Optional) Mirror the item order to your live site's connected elements:\n    \nClick Mirror on Site at the top of the collection.\xa0 Enable the toggle next to Mirror item order on the site.\xa0  Tips:\nFrom the Table layout, you can manually sort the items too. Click and drag the Reorder icon  next to the relevant items to change their order. This feature is not yet released in all Wix accounts.\xa0 To edit an existing sort, click Sort, then click the Edit icon \xa0or click the Delete icon"", 'Wix Editor: Reordering Menu Items\nYou can reorder the items on your menu from the Menus & Pages panel.To reorder menu items:Click Menus & Pages on the left side of the Editor.\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0Click and drag the menu items to a new position in the list.', ""Wix Stores: Changing the Order of Products in a Category\nMake sure your best products are noticed by placing them front and center.\xa0To reorder products on your site, go to the Categories tab in your site's dashboard. When you reorder products there, it changes the order on your site, wherever you display that category.To reorder products:\nGo to Categories\xa0in your site's dashboard. Select the relevant category. Click and drag the products to change the order. Click Save.Tip:If you're using the Category Page, you can override the product order you set in the dashboard.\xa0To do so, click the Category Page in your editor, click Settings, and select the Sorting tab. You can select any of the following order choices from the Order products by drop-down.\n""]",8.831562280654907
How do I sync the hotel app with my calendars ical link to allow visitors to book available dates on my site?,"You need to use the Airbnb iCal integration, which allows you to import reservations from an external calendar (in this case, your website's Wix Hotels reservation calendar) and then sync it with your hotel app. This way, visitors can click on a room and view its availability in real-time.","['Adding a Hotel Availability Calendar to Your Site\nImportant:This article refers to the original Wix Hotels.\xa0If you are using the new Wix Hotels by HotelRunner, which is not yet available to all users, please read the information\xa0here. Learn how to check which version of Wix Hotels you are using.\xa0Add a calendar to any page of your site to show your hotel availability. Customers can click the Show Availability For drop-down menu to select which room they want to view.To add a calendar:Click Wix Hotels app inside the Editor.Click Settings.Click the Add-Ons tab icon.Click Add to Site\xa0drop-down menu next to the Calendar.Select the page you want to place the calendar on.\xa0Drag the calendar to where you want it to appear on the page.Tip:Click here to learn how to change the design of the calendar.', 'Wix Hotels by HotelRunner: Connecting Airbnb iCal to Your Site\nThe Airbnb iCal integration helps you manage your calendar availability seamlessly. Follow these steps to set up and manage your Airbnb iCal integration with Wix Hotels by HotelRunner.Important:\niCal Integration: Airbnb iCal uses a one-way iCal integration. This means that while your calendar availability will sync from Wix Hotels by HotelRunner to Airbnb iCal, your rates and reservations will not. You will need to manually update any reservations received from Airbnb iCal in your Wix Hotels by HotelRunner calendar. Manage Rates and Restrictions: You must manage your rates and booking restrictions directly from the Airbnb iCal channel extranet. Calendar Sync: The iCal integration will only transmit your Wix Hotels by HotelRunne', 'Importing Reservations from an External Calendar (iCal) to Wix Hotels\nImportant:This article refers to the original Wix Hotels.\xa0If you are using the new Wix Hotels by HotelRunner, which is not yet available to all users, please read the information\xa0here. Learn how to check which version of Wix Hotels you are using.\xa0Import your reservations from popular external services including Airbnb, HomeAway, and VRBO\xa0 to your Wix Hotels reservation calendar.Once you import your calendar, your Wix Hotels reservation calendar stays up to date.Notes:\nYou can only import from services that allow you to export your calendar in iCal format. The sync is one way only, from iCal to the Wix Calendar. Imported rates do not appear in the calendar. Rates can be viewed by clicking on the reservation in the calenda']",9.275718927383423
I am trying to verify my domain with Google Workspace. I need to add a TXT record to my domains DNS settings. I have confirmed that my domain is connected to Wix via pointing. What to do now?,"You need to add the MX records for Google Workspace to your domain host account, not Wix. You can find instructions on how to add the MX records in your domain host account by visiting the Google Admin Console and following these steps:

1. Sign into your Google Admin Console.
2. Click Domains.
3. Note: (If hidden) Click More Controls at the bottom of your Admin console and select Domains.
4. Click Manage Domains.
5. Click Set up Admin Console next to the domain you would like to verify.
6. Note: If you domain isn't listed, click Add a Domain to add a new domain.
7. Click Next and then Continue
8. Choose TXT verification.
9. Copy the TXT record.
10. Add the TLD (Time to Live) value for the Record Type.

You should copy the exact name/Host/Alias, Time to Live (TTL), Record Type, Priority, Value, Answer, Destination values from your Google Admin Console and add them to your DNS settings according to your domain host account's instructions.","['essing the Google Admin Console.Important:If your domain is connected to Wix via pointing, your domain host is in control of your domain records. Contact your domain host and ask them to add the TXT record on their end.', ""Google Workspace: Connecting a Business Email for a Domain Pointing to Wix\nIf you connected your domain to Wix via pointing and you purchased a Google Workspace business email, you must add the Google Workspace MX records in your domain host account (not Wix) to connect your business email.\xa0Important:Instructions for adding MX records vary between domain hosts. Contact your domain host if you need help adding the Google Workspace MX records.\xa0To connect Google Workspace for a domain connected via pointing:Log in to your domain host account where your DNS records are managed.\xa0Add the following MX records to your DNS settings:Tip:View Google's list of host-specific directions for adding Google Workspace MX records.\xa0Name/Host/AliasTime to Live (TTL*)Record TypePriorityValue/Answer/DestinationB"", ""Google Workspace: Manually Verifying Your Domain with Google\nIf your domain was once associated with a different owner, either in Google Workspace or in a Google Workspace reseller account, you may receive an error message similar to this in your Wix Account:In order to resolve this issue you must verify the ownership of your domain using a TXT record.\xa0To verify your domain using a TXT record:\nSign into your Google Admin Console. Click Domains.\nNote: (If hidden) Click More Controls at the bottom of your Admin console and select Domains.\xa0 Click Manage Domains. Click\xa0Set up Admin Console next to the domain you would like to verify.\xa0\nNote: If you domain isn't listed, click\xa0Add a Domain to add a new domain. Click Next and then\xa0Continue\xa0to choose TXT verification. Copy the TXT record. Add the T""]",18.756776809692383
I cant access my old email address to change my password. I have a recovery phone number added to my Wix account.,"If you know the original email address associated with your Wix account, but can't access it, you should follow these steps:

1. Select Can't access my login email.
2. Enter the email address associated with your Wix account.
3. Click Next.
4. Select Send me a code to my phone number ending with XXXX and click Next.
5. Enter the one-time verification code sent to your phone under Enter code here.
6. Enter a new password and retype it.
7. Click Save New Password.

Then, you should change the email address of your account to one that you are able to access.","["" changing the email address of your Wix account.\xa0I've forgotten which email address I used for my Wix accountIf you're not sure which email address you used for your Wix account, you can use the Wix Account Recovery page. Enter your website URL and up to 3 possible email addresses you may have used and we'll help you locate your account.I no longer have access to the email address I used to create my accountIf you know the email address and password associated with your account, you can sign in and change the email address. However, if you are unable to log in at all, you can recover your account in 2 ways:\nUsing your recovery phone number Filling out the Wix Account Recovery formI can't change my email address because I've forgotten my passwordIf you know the original email address of you"", ""Email?.\nSelect Can't access my login email. Click Next. Enter the email address associated with your Wix account.\xa0 Click Next. Select Send me a code to my phone number ending with XXXX and click Next. Enter the one-time verification code sent to your phone under Enter code here. Click Verify. Enter a new password and retype it. Click Save New Password.Tip:After you recover your account, you should change the email address of your account to one that you are able to access.Recovering your account without a Recovery Phone NumberThe privacy of our users is one of our top priorities.\xa0If you can't access the email account associated with your Wix account, and do not have a Recovery Phone Number enabled for your account, you'll need to fill out the Wix Account Recovery form. Wix can then check t"", ""Adding and Updating the Recovery Phone Number in Your Wix Account\nAdding a confirmed recovery phone number can help you recover your Wix account if you're having problems signing in.\xa0For example, if you can't remember your password and you don't have access to the email associated with your account, you won't be able to reset your password via email. You can use your recovery phone number to get a one-time SMS code to log in with instead.Tip:If you've forgotten the email address of your Wix account, you can try to find it using the Wix email locator.In this article, learn more about:\nAdding a recovery phone number Updating your recovery phone numberAdding a recovery phone numberYou can add and confirm a recovery phone number in the Account Settings section of your site's dashboard.\xa0To add ""]",15.554825782775879
I couldn’t link PayPal to my site because the option to connect to PayPal was not available. I confirmed that I have a PayPal Business account and adjusted my business location in the Wix dashboard.,I don't know.,"["": Check your business location at the top right. If incorrect, click the drop-down menu to change it. Click Connect next to PayPal.\nDepending on whether you have a PayPal business account or need to create a new one, follow the steps:Have a PayPal business account\nEnter the email address associated with your PayPal business account.\xa0 Click Connect.\xa0 Sign in to PayPal and follow the on-screen instructions.\xa0 Click Go back to Wix.com to complete the connection.\xa0Don't have a PayPal business account\nClick Create PayPal account. Follow the instructions on PayPal to create a PayPal business account. Once your account is approved, go to\xa0Accept Payments in your site's dashboard and follow the steps under\xa0Have a PayPal Account.\xa0Accepting recurring paymentsApps such as Wix Video and Pricing Plans all"", 'Wix Stores Request: PayPal Pro Integration\nCurrently, integration with PayPal Pro is not supported in Wix Stores.\xa0We are always working to update and improve our products, and your feedback is greatly appreciated.\xa0', 'Unable to Connect PayPal to Wix Hotels\nIf you are experiencing this issue, please reach out to our Customer Care team so they can assist you with a manual fix.']",5.490273475646973
