question,faithful
Can I start accepting payments on my site while my Wix Payments account is still under verification?,1
"I am inquiring about purchasing the yearly premium plan for $17.00, which includes a free domain for 1 year. However, the voucher does not show up at checkout. Do I need to purchase the plan first and then will the voucher be available to activate?",1
I'm want to know how much it would cost to upgrade my email plan.,1
I want to know if the Wix store function work for selling services instead of just physical goods,1
How can I add discounts to my service prices when customers pay for a plan?,0
"I am trying to change the order of the items within a CMS collection on my Wix site, but the provided steps did not work for me.",0
How do I sync the hotel app with my calendars ical link to allow visitors to book available dates on my site?,1
I am trying to verify my domain with Google Workspace. I need to add a TXT record to my domains DNS settings. I have confirmed that my domain is connected to Wix via pointing. What to do now?,0
I cant access my old email address to change my password. I have a recovery phone number added to my Wix account.,0
I couldn’t link PayPal to my site because the option to connect to PayPal was not available. I confirmed that I have a PayPal Business account and adjusted my business location in the Wix dashboard.,0
I forgot the password for my second Gmail account for business and Im not able to reset it. I have an admin account as well. Can you guide me on how to reset the password for my second Gmail account?,1
"I have created pages in the Wix editor, but they are not showing up on the live site even though I have hit publish. I have made sure the pages are not hidden and they are published, but they are still not showing up on the live site.",1
I have not received my payment in my bank account yet.,1
I need assistance with creating custom hours for a staff member in the work schedule.,0
Can you help me understand how to enable guest checkout for my pricing plans on Wix?,0
I need help managing the categories my booking services are in on my Wix website.,0
How do I block off time slots in a staff schedule for a single staff member.,1
How can I delete items from a CMS collection?,1
I need help with setting up two different emails on my website. One for receiving order invoices and the other for general inquiries. Im specifically looking for guidance on how to set the email address for order confirmations in the Business Info section of my sites settings.,0
I need to add funds to my Wix Payments account in order to issue a refund. Can you guide me on how to do this?,1
"I need to change my domain name to something that doesnt include ""DBT"" for legal reasons.",0
How long will it take for my products to show up in a Wix Google Ads campaign?,1
I need to know how to change the order of my products.,0
I need to know if more information is required for Wix payment verification status for my individual account.,1
I need to know if more information is required for Wix payment verification status for my business account.,0
"I need to renew my Premium Business plan after missing the renewal notice. I couldnt find the subscription under my account, but I want to proceed with purchasing a new Premium plan for my site.",1
How can I restore some deleted products?,0
Hoe can I restore the selection of projects for my Wix collection?,0
How can I set up an automation for a clients birthday to send an email offering a free class?,0
I need to switch my business type from sole prop to LLC in order to use an EIN.,1
I need to temporarily remove the quick action button from the mobile view as I have not set it up yet.,0
I need to track the status of chargeback #1124381935-1.,1
I need to update the og:image for my entire site to ensure the correct image appears when the link is posted on social media. I also want to know if this will affect the image when the link is posted in an email or on Instagram.,1
I received a manual payment from the pay button and I am unable to see the payment history.,0
How can I add a personalized name to my automated emails? I was advised to use dynamic values for this.,1
How can I add delivery information to my product page?,1
I want to change the currency for my course.,1
I want to change the header background to black when scrolling in Wix Editor.,1
I want to create a custom sign-up form that links to the members area on my site.,1
I want to customize a booking form.,1
I want to delete other payment methods and keep Square as my only payment processor.,1
I want to enable customers to personalize shirts on my website by adding their name. I need guidance on adding a custom text field to the product page for this purpose.,0
I want to know how to add a subscribe form to my site.,1
I want to know how to add or mark a certain item as low in stock in my Wix shoe store.,1
I want to know how to do tests with orders in Wix Stores.,1
"I want to know more about the ""Right Click Protect App"" to prevent visitors from copying my website content.",1
I want to know where to find Marketing Integrations in my sites dashboard to connect tools like Google Tag Manager and Google Analytics.,1
I need help processing a refund for a recurring payment made by one of my customers through Wix Payments.,1
I want to switch my current domain on premium to a new domain because my other business is closing down and theres no revenue. I have purchased the new domain but havent added it to my Wix account yet. I need to know if my current subscription can be easily changed to the new domain once I set it up on Wix.,1
I want to take the home page of my copy site and make it the home page on my current site.,1
I want to transfer my domain to another host.,1
I want to unfreeze the header on my Wix site.,0
I want to update the picture that appears when I share my website link with someone using my editor.,1
I would like to change my billing cycle from 2 years to monthly payments.,0
I would like to download the reports of my website visits from December 15 to January 15.,0
I would like to know how many options Wix offers per product.,1
I would like to know how many sites I can have.,1
I would like to know how to set up a policy agreement checkbox during checkout in Wix Stores.,1
"I'd like to see what items my customers added to their cart, and how items were sold",1
I would like to know the cost of 1 business starter Google Workspace email.,0
I would like to unpublish my site.,1
I would like to view my invoices.,1
"I'm attempting to redesign the product page of my Wix Store. I need guidance on customizing the layout, image display & button text.",1
How can I customize my wishlist page?,0
I'm interested in customizing the layout of my products in a grid gallery,1
I'm a sole trader in the UK. What account type is best for me?,1
Im encountering an error with Wix Payments regarding region or currency.,0
Im encountering an issue with my payment settings on my unpublished website. The error message says that payouts are on hold.,0
"Im experiencing an issue with my website automation. Despite receiving form submissions, the trigger for my automation is not working. The automation is set to trigger immediately after the form submission.",1
"Im experiencing trouble with the website editor. Theres a stray logo on the published version that doesnt show up in the editor, making it impossible to correct.",1
"Im having trouble applying a 50% off coupon in Wix Stores. Its not applying the discount, and I need assistance with this issue.",0
Im having trouble figuring out which PayPal account is connected to my site and where a payment went after connecting a second account.,1
Im having trouble finding the address section in the rooms of Wix Hotels. Can you help me with this?,0
"Im having trouble finding the arrows and the ""Change Slide Background"" option in a full-width slideshow on Wix.",1
Im having trouble finding the payments section in my Wix dashboard to refund a recurring payment made through Wix Payments.,1
Im having trouble resizing the gallery widget in the desktop editor.,1
"Im having trouble updating the terms & conditions checkbox at checkout in Wix Stores. I confirmed that I have a ""Products"" section in my sites dashboard.",1
"Im having trouble with a popup that says ""You cant order this plan at the moment"" on my Wix site. When I cancel the popup, I can see the plan with a ""buy"" button. I would like instructions on how to enable guest checkout for my pricing plans.",1
"Im having trouble with my site not being indexed by Google. Ive checked that my site is published and not password protected, but its still not being indexed.",0
"Im having trouble with the verification process for my Wix Payments account. Specifically, my documents arent being accepted.",0
What are the collection limits in Wix Store?,1
"How do the payment processing fees for credit card, PayPal, and Apple Pay work in Canada?",0
What is the pricing for email marketing on Wix?,0
Im inquiring about the duration for Wix payment verification for my account.,1
Im inquiring about the refund policy for canceling my Premium Light account.,0
Im interested in finding a Wix Partner to help redesign and update my existing website.,1
Im looking to create an automation for a standard Wix form.,1
"I would like to know how to customize the content in automated emails for Wix Bookings (confirmation, cancellation and reminders for users)",1
"I would like to know how to customize the text in automated emails for Wix Bookings (confirmation, cancellation and reminders for users)",1
Im looking to set up an option for free shipping when the customer buys more.,1
"Im not seeing a payment reflected in my Chase account from a payout through Wix. The payout status is fine, and it has been 4 days since it was sent.",1
Im troubleshooting why my automated email isnt being sent after a form submission. Ive confirmed that Ive checked the automation statistics.,0
"Im trying to add a hamburger menu to my desktop site in the Wix Editor, but its not listed.",0
"Im trying to connect my domain to the correct website on Wix. The domain is already added to my Wix account but for some reason, its attached to another website.",1
Im trying to set up events with my Meta Pixel for Wix Bookings. I need guidance on how to track events related to service views and bookings.,1
"Im unable to access the Google Maps element in the footer of my Wix site. Im having trouble removing it, and I dont know where the overlapping items feature is located.",0
I'd like to know how to customize the cart page on the mobile version of my site.,1
Im using Wix Payments and Im trying to figure out where my payments are going.,1
My automated emails triggered by form submissions are not sending.,0
My banking information for payouts hasnt been updated for a couple of weeks. I need help with identifying if theres an issue with the verification process for my individual account or if the details were not updated correctly.,0
"My business email in GMAIL suite is suspended and I dont know why or how to reactivate it. It says ""suspended by reseller.""",1
