question,path,answer,contexts,latency_seconds,delta_score
Can I start accepting payments on my site while my Wix Payments account is still under verification?,deep,"You cannot start accepting payments on your site while your Wix Payments account is still under verification. According to the context, if you do not complete the account setup within 30 days of receiving your first payment, your Wix Payments account will be suspended and you will not be able to accept any more payments through your site.","['e content. In some cases, we may need your cooperation in order to complete the verification process. From the time of the first transaction on your site, you have 30 days to complete your account setup or verification process. If you do not complete these processes within 30 days, your Wix Payments account will be suspended and you will not be able to accept payments through your site.\xa0ActiveYou have connected your Wix Payments account and your site is accepting payments. You are all set to receive weekly payouts to your bank account when applicable. \n\nNote: After your account is active, you may still be required to go through the verification process.\xa0SuspendedYou have not completed account setup or verification process within 30 days as required. You can reactivate your account by compl', ""Wix Payments Verification Process\nImportant:Wix Payments is not yet available to all users.You can start accepting payments on your site using Wix Payments almost immediately. However,\xa0 we need to verify your identity before your account can be fully activated.\xa0To verify your identity:\nFor an individual account: You must complete your Wix Payments account setup within the same country as your bank is located.\xa0 For a business account: The country where your company is registered must match the country where your company's bank is located. This must be the same country in which you complete your Wix Payments account setup. For a sole proprietor (United Kingdom): The country where your company is registered must match the country where your company's bank is located. This must be the same cou"", ""Completing Your Wix Payments Account Setup\nAfter connecting to Wix Payments as your payment provider, you can begin receiving payments through your site immediately. However, in order for Wix Payments to send a payout to your bank account, you must complete the setup process within 30 days from receiving your first payment.Important:If you do not complete account setup within 30 days, your Wix Payments account will be suspended and you will not be able to accept any more payments through your site.If you do not complete account setup within 60 days, previous transactions (if any) will be refunded to your customers. \xa0Completing your Wix Payments account setup\nGo to Accept Payments in your site's dashboard. Click Complete Setup under Wix Payments.\xa0\nSelect an option under Business Type:\nNote:"", ""Wix Payments: Understanding the Status of Your Account\nWix Payments is not yet available for all users.After connecting Wix Payments as a payment method, your account can have one of the below statuses, depending on a number of factors (e.g. whether you've filled in all the relevant information, or if you account requires verification).\xa0To check your account status:\nGo to Accept Payments in your site's dashboard. Check the status next to the relevant payment method.Select a status below to learn more:PendingYou have connected your Wix Payments account to your site, but you cannot yet accept payments.\n\nTo start accepting payments, you need to:\nPublish your site. Upgrade it to a Wix Premium or Studio site plan that allows you to accept payments.Accepting PaymentsYou have connected your Wix P"", ""rovider. Can I change to accept iDeal payments through Wix Payments?Yes. You can switch to Wix Payments if you've already connected your Wix site to a different provider.How can I tell if a payment method is active?In order to accept online payments, you must connect a payment provider.\xa0Once connected, your checkout will be active for your chosen payment method(s).\n\nYou need to have your account successfully verified to receive payouts.How often do I receive payouts?Once your account setup is complete, payouts are sent daily, weekly or monthly, depending on the payout schedule you choose. Please allow 3-5 business days for the funds to appear in your bank account.\xa0""]",14.726265907287598,0.0406998693943023
"I am inquiring about purchasing the yearly premium plan for $17.00, which includes a free domain for 1 year. However, the voucher does not show up at checkout. Do I need to purchase the plan first and then will the voucher be available to activate?",deep,"You do not need to purchase the plan first to claim the free domain voucher. According to the text, if you purchased your domain name prior to purchasing a site plan (or after purchasing it for the first time), it is not possible to apply the voucher retroactively or receive a refund. So, you can still use the domain voucher even if you didn't have one before.","['sed a monthly plan:\xa0The free domain voucher is offered as a gift with the purchase of selected site plans with a billing cycle of 1 year or longer. Monthly plans do not offer the free domain voucher.\xa0 You purchased your domain name before you purchased an site plan:\xa0If you purchased your domain name prior to purchasing your plan, it is not possible to apply the voucher retroactively or get a refund for the domain. If you received the voucher and already have a domain name, you can use it to get another domain name for free.\xa0 Additional Features:\xa0The free domain voucher applies to the first year of domain registration for a new domain. It does not include domain privacy or additional years of domain registration. You can still use the domain voucher to cover part of the cost while purchasin', 'About Your Free Domain Voucher\nAs a promotional gift, you receive a 1 year free domain voucher with the initial purchase of selected yearly or multi-year Premium or Studio plans.Where can I view my vouchers?Go to the Premium Vouchers page in your Wix account to see and claim your vouchers.\xa0Note:This voucher is only included with the first-time purchase of a site plan. It is not included when renewing a plan or upgrading an existing plan. The voucher is included when changing your subscription period from monthly to yearly.Claiming the voucherThe\xa01 year free domain voucher\xa0enables you to claim a free domain for one year. The voucher is valid for two months from the date that you purchased your plan.\xa0Tip:You can check the expiration date of your voucher in the Premium Vouchers section of you', ""Using Your Free 1 Year Domain Voucher\nYou receive the 1 year free domain voucher with the initial purchase of selected yearly or multi-year Premium or Studio site plans. This voucher enables you to register a domain for free for one year. You can renew the domain the following year for the regular price.\xa0In this article, learn more about:\nUsing your voucher Frequently asked questions (FAQs)Using your voucherYour voucher must be redeemed within 2 months of purchasing your plan. You can check the expiration date of your voucher in the Premium Vouchers section of your account.You will need to enter your payment information when claiming your voucher, but you won't be charged. This allows us to process your renewal after the first year to make sure your domain stays live.To use your voucher:\nG"", ""registration?The free domain voucher does not include privacy protection. However, you can purchase this option for an additional fee.I purchased a plan but didn't get this voucher. Why?If you didn't receive the domain voucher, or believe it wasn't credited to your domain purchase, you may not have been eligible for one of the following reasons:\xa0\nYou purchased a monthly plan:\xa0The free domain voucher is offered as a gift with purchase of selected\xa0yearly or multi-year\xa0Premium or Studio plans. If you chose a monthly billing cycle, you won't receive a free domain voucher. You purchased your domain name before purchasing a plan:\xa0If you purchased your domain name prior to purchasing your Premium plan or Studio plan, it is not possible to apply the voucher retroactively or receive a refund. Addit"", ""Reasons for Not Receiving a Free Domain Voucher\nWith selected yearly Premium or Studio site plans, you receive a free domain voucher.If you didn't receive the voucher, or believe it wasn't credited to your domain purchase, you may not have been eligible for one of the following reasons:\xa0\nYou purchased a monthly plan: The free domain voucher is offered as a gift with purchase of selected yearly site plans. If you purchased a monthly plan you are not eligible for the free domain voucher. You purchased your domain name before you purchased a site plan: If you purchased your domain name prior to purchasing your Wix site plan, it is not possible to apply the voucher retroactively or offer you a refund. If you received the voucher and already have a domain name, you are welcome to use it for the""]",15.67352819442749,0.0146908015012741
I'm want to know how much it would cost to upgrade my email plan.,deep,I don't know. The answer is not provided in the context.,"[""Email Marketing: Upgrading Your Email Marketing Plan\nTo get access to more email marketing features upgrade your email marketing plan and choose the package that works for your business.To upgrade your email marketing plan:\nGo to Email Marketing\xa0in your site's dashboard. Under Monthly Balance click Upgrade. Choose a plan that works best for you and checkout.Want to compare plans before upgrading?Compare the different email marketing plans to see which is right for your business. Choose your plan by the number of emails you’re planning to send a month and any additional features you are interested in.\xa0"", 'Pricing Plans Request: Additional Email Notifications for Pricing Plan Customers\nCurrently, customers receive a confirmation email after they purchase their plan. They do not receive additional email notifications such as renewal reminders, notifications about changes etc.We are always working to update and improve our products, and your feedback is hugely appreciated.', ""limit.Upgrading your email marketing balanceTo send more emails per month, upgrade your email marketing plan and choose the package that works for your business.Want to compare plans before upgrading?Compare the different email marketing plans to see which is right for your business.To upgrade your email marketing balance:\nGo to Email Marketing\xa0in your site's dashboard. Under Monthly Balance click\xa0Upgrade to Send More. Select an email marketing plan and checkout.FAQsClick a question below to learn more about your email marketing monthly balance.\xa0When does my balance reset? The date your balance and email quota resets is determined by your plan.\nFree email marketing plans: The quota resets on the first day of each month at 00:01 UTC for all time zones. Premium email marketing plans: The quo"", 'tunningwebsite.com. If you have already purchased a Google Workspace email, you can also purchase additional emails for the same domain.\xa0Can I change my business email plan to a different plan?Yes. If, at a later date, you decide you need additional storage or features, you can upgrade your Workspace plan whenever you need to.\n\nNote: At the moment, Wix only supports upgrades to higher-tier plans.Is there any limit on the amount of business emails I can buy? You can buy up to 300 business emails, but you can only purchase 20 per transaction. For example, if you want to have 100 business emails, you need to purchase 20 at a time - so you would need to make five transactions.What can I do if I am experiencing issues with the authentication process? After submitting your purchase, your bank ma', 'real-time on documents, presentations, and spreadsheets.FAQsClick a question below to learn more about business emails.How much does a business email cost?The cost of a business email depends on a few factors, including the Google Workspace plan you choose. Upgrading your site to a Premium or Studio site plan does not include a business email.Note: You do not need an active plan to purchase a business email.Does my business email work even if my site is not published at present?Yes, it still works even when your site is not published online.\xa0Your business email is connected to your domain, not your site. \xa0Can I transfer my business email out of Wix to another platform? If you want to move your business email out of Wix, you can only transfer it to Google Workspace. This action disconnects ']",10.507728576660156,0.0328932404518127
I want to know if the Wix store function work for selling services instead of just physical goods,deep,"I don't know. The context only mentions selling physical or digital products through Wix Stores, but doesn't provide information on how to sell services. It does mention accepting payment in person, which could potentially be used for service-based businesses, but it's not explicitly stated that the platform is designed specifically for services.","[' bookings, services, coaching, consultations and more. Wix Stores reports focus on purchases and transactions made if you have an online store.', 'Wix Stores: An Overview of Store Features\nWix Stores is an eCommerce platform that offers you tons of exciting features to help you create a stunning and professional online store.We are constantly improving the Wix Stores and adding new options. Take a look at some of the things you can do.Sell your productsYou can offer up to 50,000 products in your online store.\xa0Sell physical or digital products, increase revenue with product subscriptions, connect the right payment method for your business, and start taking secure payments online.\nSell digital products Sell product subscriptions Sell gift cards Display different images for each product option Display product videos Connect multiple payment methods Let customers pay in installments Import store products from other platformsSell dropship', 'Wix Stores: Understanding Dropshipping\nSell merchandise without paying for inventory, managing storage solutions, or dealing with order fulfillment, by connecting to a dropshipping service.\xa0Dropshippers offer thousands of products from a variety of suppliers. After connecting to your favorite dropshipping app, you can choose which products you want to add to your store. When a customer purchases one of these products, the supplier fulfills the order directly to the customer.\xa0Connecting to a dropshipping appTo get started, connect your Wix store with one of the dropshipping options Wix offers.Next, select products that work with your business. For example, if you have a gym, you might want to sell gym equipment, gym bags, and active wear. \xa0After setting the product markup to determine how m', 't for your products and services:\nWix Stores: Let customers purchase store products in person. Your inventory adjusts after every sale. Wix Bookings: Accept payment for your services. Clients can book through your site and pay at the point of sale. Alternatively, you can book for them and accept payment all at once. Wix Restaurants: Accept restaurant orders and automatically send the order to the dashboard. Gift Cards: Sell physical gift cards at your point of sale. Customers can later use them to purchase store products or Wix Bookings services. Wix Events: Sell event tickets at your event, or collect payment in person from guests who booked tickets online. Pricing Plans: Sell clients your membership plans and packages in person. Invoices: Accept payments for invoices.Notes: \nYou can sell', 'Wix Retail POS Request: Integrating a Point of Sale with Wix Restaurants\nCurrently, the Wix Retail Point of Sale (POS) tablet solution for physical stores can only be used to sell Wix Stores products.\xa0We are always working to update and improve our products, and your feedback is greatly appreciated.']",10.939391851425173,0.0182218104600906
How can I add discounts to my service prices when customers pay for a plan?,deep,"You can create a discount on your service price by selecting the ""Varied prices"" option in the Price type drop-down, and then adding a ""Custom price"" field with a short description. Clients aren't charged online when booking custom-priced services.","[' one. Scroll down to the Price and Payment section. Choose the relevant price option in the Price type drop-down:\n    \nFixed Price: Set a standard price for the service. No Fee: Choose this option for free service. Varied prices: Create different price options depending on either the client type or the staff member.\nNote:\xa0This feature is not available for everyone yet.\xa0 Custom Price: Describe how you charge for the service, for example, ""Price negotiable"".   Click Create New Plan next to Pricing Plans (Memberships & Packages). Click Package.\xa0 Click Next.\xa0 Enter the plan name and description. Choose the services included in the package:\n    \nClick the What services are included? drop-down.\xa0 Select the checkbox next to the relevant services.\nTip: Click Select All Services to create an all-in', 'You can also offer discounts by including the appointment in a package or membership.\xa0Let your clients pay per session, with a membership plan or package, or have both options to give clients more flexibility when paying.To set your price & payment details:\nScroll down to the Price & payment section.\xa0 Select the relevant option under Choose how clients can pay for this service:\n\nPer session: Clients pay for sessions based on the price you set. With a plan: Clients buy a membership or package to book sessions. Per session or with a plan: Clients pay either per session or with a membership or package.\xa0   Depending on the payment method you chose, follow the steps to set it up:Per sessionSelect the relevant pricing option from the Price type drop-down:\nFixed price: A set amount you choose:\n  ', "" also create a service that is only available as part of a pricing plan.To offer an appointment or class as part of a membership plan or package:\nGo to Booking Services\xa0in your site's dashboard. Create a new appointment or class or edit an existing one.\xa0 Complete the General Info and Service Details sections. Scroll down to Pricing Plans (Memberships & Packages) in the Price & Payment section.\xa0 Click With a plan or Per session or with a plan under Choose how clients pay for this service.\xa0 Choose what you want to do:\n    \nClick + Create New Plan to add your first plan. Click Connect an Existing Plan to connect the service to your existing plans.  Tip:Click here to learn more about offering exclusive services to your Pricing Plan holders.Frequently Asked Questions (FAQs)We are here to help w"", ""service Adding an 'Explore plans' button to the Service List Frequently asked questions (FAQs) about packagesCreating a package for your serviceAs you add new services to your site, you can offer them as part of a package. This is a great way for new clients to experience the full range of services you offer at a discounted rate.For example, clients can book different types of yoga classes offered in a package to see which one is right for them. You choose which services you offer in the package, how many sessions clients can book and how long the package is valid for.\xa0To create a package:\nGo to Booking Services in your site's dashboard. Create a new appointment or class, or edit an existing one. Scroll down to the Price and Payment section. Choose the relevant price option in the Price ty"", "" desktop to\xa0add varied prices to your appointments. You can charge different rates for appointments depending on the staff member, client type, service type and more. Custom price:\xa0Enter a short description of your pricing to display on your site. Clients aren't charged online when booking custom-priced services. Learn more about getting paid offline or in person.\xa0  2. Tap Create service.With a planClients can buy a membership or package and use it to book a session.\xa0\nTap With a plan.\n    \nTap Connect Pricing Plans to connect to an existing plan.\nNote: If you do not have any pricing plans connected, tap\xa0+ Create new plan to connect a Package or Membership. Enable the toggle next to the relevant plans or tap\xa0+ Create new plan.\xa0 Tap Done.   Tap Create service.Tip: If you're having trouble co""]",14.161048412322998,0.0140132009983062
"I am trying to change the order of the items within a CMS collection on my Wix site, but the provided steps did not work for me.",fast,"Since there's no specific step or context provided in the question that would allow me to directly answer it, I'll need more information. However, I can guide you through the general steps for changing the order of items within a CMS collection on your Wix site:

1. Ensure you have access to the CMS collection.
2. Click on the ""Sort"" button at the top of the collection.
3. Select the field you want to sort by from the dropdown menu.
4. Choose the sorting option (e.g., A-Z, Low-High, Oldest-Newest).
5. If necessary, click ""Add Sort"".
6. Mirror your item order to the live site's connected elements by enabling the toggle next to ""Mirror item order on the site"" if you have Wix Live.
7. Reorder menu items from the Menus & Pages panel (if applicable).

If none of these steps worked for you, I'd be happy to help further or try and provide more specific guidance based on your exact situation.","[""at the top that you want to sort items in.\xa0\nClick Sort at the top of your collection. Click + Add a Sort. Click the Sort by drop-down and choose the field you want to sort. Select a sorting option under Select the order (e.g. A-Z, Low-High, Oldest-Newest). The options vary depending on the field type. Click Add Sort.\n(Optional) Mirror the item order to your live site's connected elements:\n    \nClick Mirror on Site at the top of the collection.\xa0 Enable the toggle next to Mirror item order on the site.\xa0  Tips:\nFrom the Table layout, you can manually sort the items too. Click and drag the Reorder icon  next to the relevant items to change their order. This feature is not yet released in all Wix accounts.\xa0 To edit an existing sort, click Sort, then click the Edit icon \xa0or click the Delete icon"", 'Wix Editor: Reordering Menu Items\nYou can reorder the items on your menu from the Menus & Pages panel.To reorder menu items:Click Menus & Pages on the left side of the Editor.\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0Click and drag the menu items to a new position in the list.']",30.46631908416748,0.0640303045511245
How do I sync the hotel app with my calendars ical link to allow visitors to book available dates on my site?,fast,"To allow visitors to book available dates on your site, you need to set up the Airbnb iCal integration with Wix Hotels by HotelRunner. You can follow these steps:

1. Click Wix Hotels app inside the Editor.
2. Click Settings.
3. Click Add-Ons tab icon.
4. Click Add to Site drop-down menu next to Calendar.
5. Select the page where you want to place the calendar.
6. Drag and drop the calendar to the desired location on the page.

The calendar will then sync with your Airbnb iCal integration, allowing visitors to book available dates on your site.","['Adding a Hotel Availability Calendar to Your Site\nImportant:This article refers to the original Wix Hotels.\xa0If you are using the new Wix Hotels by HotelRunner, which is not yet available to all users, please read the information\xa0here. Learn how to check which version of Wix Hotels you are using.\xa0Add a calendar to any page of your site to show your hotel availability. Customers can click the Show Availability For drop-down menu to select which room they want to view.To add a calendar:Click Wix Hotels app inside the Editor.Click Settings.Click the Add-Ons tab icon.Click Add to Site\xa0drop-down menu next to the Calendar.Select the page you want to place the calendar on.\xa0Drag the calendar to where you want it to appear on the page.Tip:Click here to learn how to change the design of the calendar.', 'Wix Hotels by HotelRunner: Connecting Airbnb iCal to Your Site\nThe Airbnb iCal integration helps you manage your calendar availability seamlessly. Follow these steps to set up and manage your Airbnb iCal integration with Wix Hotels by HotelRunner.Important:\niCal Integration: Airbnb iCal uses a one-way iCal integration. This means that while your calendar availability will sync from Wix Hotels by HotelRunner to Airbnb iCal, your rates and reservations will not. You will need to manually update any reservations received from Airbnb iCal in your Wix Hotels by HotelRunner calendar. Manage Rates and Restrictions: You must manage your rates and booking restrictions directly from the Airbnb iCal channel extranet. Calendar Sync: The iCal integration will only transmit your Wix Hotels by HotelRunne']",17.865530252456665,0.0444727391004562
I am trying to verify my domain with Google Workspace. I need to add a TXT record to my domains DNS settings. I have confirmed that my domain is connected to Wix via pointing. What to do now?,fast,"You should contact your domain host and ask them to add the TXT record on their end, as they are in control of your domain records for connecting to Wix via pointing.","['essing the Google Admin Console.Important:If your domain is connected to Wix via pointing, your domain host is in control of your domain records. Contact your domain host and ask them to add the TXT record on their end.', ""Google Workspace: Connecting a Business Email for a Domain Pointing to Wix\nIf you connected your domain to Wix via pointing and you purchased a Google Workspace business email, you must add the Google Workspace MX records in your domain host account (not Wix) to connect your business email.\xa0Important:Instructions for adding MX records vary between domain hosts. Contact your domain host if you need help adding the Google Workspace MX records.\xa0To connect Google Workspace for a domain connected via pointing:Log in to your domain host account where your DNS records are managed.\xa0Add the following MX records to your DNS settings:Tip:View Google's list of host-specific directions for adding Google Workspace MX records.\xa0Name/Host/AliasTime to Live (TTL*)Record TypePriorityValue/Answer/DestinationB""]",9.170983791351318,0.0843825340270996
I cant access my old email address to change my password. I have a recovery phone number added to my Wix account.,fast,"Since you don't know your original email address, and you've forgotten your password, the answer is ""I don't know.""","["" changing the email address of your Wix account.\xa0I've forgotten which email address I used for my Wix accountIf you're not sure which email address you used for your Wix account, you can use the Wix Account Recovery page. Enter your website URL and up to 3 possible email addresses you may have used and we'll help you locate your account.I no longer have access to the email address I used to create my accountIf you know the email address and password associated with your account, you can sign in and change the email address. However, if you are unable to log in at all, you can recover your account in 2 ways:\nUsing your recovery phone number Filling out the Wix Account Recovery formI can't change my email address because I've forgotten my passwordIf you know the original email address of you"", ""Email?.\nSelect Can't access my login email. Click Next. Enter the email address associated with your Wix account.\xa0 Click Next. Select Send me a code to my phone number ending with XXXX and click Next. Enter the one-time verification code sent to your phone under Enter code here. Click Verify. Enter a new password and retype it. Click Save New Password.Tip:After you recover your account, you should change the email address of your account to one that you are able to access.Recovering your account without a Recovery Phone NumberThe privacy of our users is one of our top priorities.\xa0If you can't access the email account associated with your Wix account, and do not have a Recovery Phone Number enabled for your account, you'll need to fill out the Wix Account Recovery form. Wix can then check t""]",11.580928564071655,0.0624627768993377
I couldn’t link PayPal to my site because the option to connect to PayPal was not available. I confirmed that I have a PayPal Business account and adjusted my business location in the Wix dashboard.,fast,"Since the question specifically mentions connecting to PayPal through Wix Stores, where it's mentioned that integration with PayPal Pro is currently not supported, I don't know how to provide an answer regarding connecting to PayPal without support for PayPal Pro.","["": Check your business location at the top right. If incorrect, click the drop-down menu to change it. Click Connect next to PayPal.\nDepending on whether you have a PayPal business account or need to create a new one, follow the steps:Have a PayPal business account\nEnter the email address associated with your PayPal business account.\xa0 Click Connect.\xa0 Sign in to PayPal and follow the on-screen instructions.\xa0 Click Go back to Wix.com to complete the connection.\xa0Don't have a PayPal business account\nClick Create PayPal account. Follow the instructions on PayPal to create a PayPal business account. Once your account is approved, go to\xa0Accept Payments in your site's dashboard and follow the steps under\xa0Have a PayPal Account.\xa0Accepting recurring paymentsApps such as Wix Video and Pricing Plans all"", 'Wix Stores Request: PayPal Pro Integration\nCurrently, integration with PayPal Pro is not supported in Wix Stores.\xa0We are always working to update and improve our products, and your feedback is greatly appreciated.\xa0']",9.614975214004517,0.0837781727313995
