question,answer,contexts,latency_seconds
"I am trying to change the order of the items within a CMS collection on my Wix site, but the provided steps did not work for me.","Since there's no specific step or context provided in the question that would allow me to directly answer it, I'll need more information. However, I can guide you through the general steps for changing the order of items within a CMS collection on your Wix site:

1. Ensure you have access to the CMS collection.
2. Click on the ""Sort"" button at the top of the collection.
3. Select the field you want to sort by from the dropdown menu.
4. Choose the sorting option (e.g., A-Z, Low-High, Oldest-Newest).
5. If necessary, click ""Add Sort"".
6. Mirror your item order to the live site's connected elements by enabling the toggle next to ""Mirror item order on the site"" if you have Wix Live.
7. Reorder menu items from the Menus & Pages panel (if applicable).

If none of these steps worked for you, I'd be happy to help further or try and provide more specific guidance based on your exact situation.","[""at the top that you want to sort items in.\xa0\nClick Sort at the top of your collection. Click + Add a Sort. Click the Sort by drop-down and choose the field you want to sort. Select a sorting option under Select the order (e.g. A-Z, Low-High, Oldest-Newest). The options vary depending on the field type. Click Add Sort.\n(Optional) Mirror the item order to your live site's connected elements:\n    \nClick Mirror on Site at the top of the collection.\xa0 Enable the toggle next to Mirror item order on the site.\xa0  Tips:\nFrom the Table layout, you can manually sort the items too. Click and drag the Reorder icon  next to the relevant items to change their order. This feature is not yet released in all Wix accounts.\xa0 To edit an existing sort, click Sort, then click the Edit icon \xa0or click the Delete icon"", 'Wix Editor: Reordering Menu Items\nYou can reorder the items on your menu from the Menus & Pages panel.To reorder menu items:Click Menus & Pages on the left side of the Editor.\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0Click and drag the menu items to a new position in the list.']",30.46631908416748
How do I sync the hotel app with my calendars ical link to allow visitors to book available dates on my site?,"To allow visitors to book available dates on your site, you need to set up the Airbnb iCal integration with Wix Hotels by HotelRunner. You can follow these steps:

1. Click Wix Hotels app inside the Editor.
2. Click Settings.
3. Click Add-Ons tab icon.
4. Click Add to Site drop-down menu next to Calendar.
5. Select the page where you want to place the calendar.
6. Drag and drop the calendar to the desired location on the page.

The calendar will then sync with your Airbnb iCal integration, allowing visitors to book available dates on your site.","['Adding a Hotel Availability Calendar to Your Site\nImportant:This article refers to the original Wix Hotels.\xa0If you are using the new Wix Hotels by HotelRunner, which is not yet available to all users, please read the information\xa0here. Learn how to check which version of Wix Hotels you are using.\xa0Add a calendar to any page of your site to show your hotel availability. Customers can click the Show Availability For drop-down menu to select which room they want to view.To add a calendar:Click Wix Hotels app inside the Editor.Click Settings.Click the Add-Ons tab icon.Click Add to Site\xa0drop-down menu next to the Calendar.Select the page you want to place the calendar on.\xa0Drag the calendar to where you want it to appear on the page.Tip:Click here to learn how to change the design of the calendar.', 'Wix Hotels by HotelRunner: Connecting Airbnb iCal to Your Site\nThe Airbnb iCal integration helps you manage your calendar availability seamlessly. Follow these steps to set up and manage your Airbnb iCal integration with Wix Hotels by HotelRunner.Important:\niCal Integration: Airbnb iCal uses a one-way iCal integration. This means that while your calendar availability will sync from Wix Hotels by HotelRunner to Airbnb iCal, your rates and reservations will not. You will need to manually update any reservations received from Airbnb iCal in your Wix Hotels by HotelRunner calendar. Manage Rates and Restrictions: You must manage your rates and booking restrictions directly from the Airbnb iCal channel extranet. Calendar Sync: The iCal integration will only transmit your Wix Hotels by HotelRunne']",17.865530252456665
I am trying to verify my domain with Google Workspace. I need to add a TXT record to my domains DNS settings. I have confirmed that my domain is connected to Wix via pointing. What to do now?,"You should contact your domain host and ask them to add the TXT record on their end, as they are in control of your domain records for connecting to Wix via pointing.","['essing the Google Admin Console.Important:If your domain is connected to Wix via pointing, your domain host is in control of your domain records. Contact your domain host and ask them to add the TXT record on their end.', ""Google Workspace: Connecting a Business Email for a Domain Pointing to Wix\nIf you connected your domain to Wix via pointing and you purchased a Google Workspace business email, you must add the Google Workspace MX records in your domain host account (not Wix) to connect your business email.\xa0Important:Instructions for adding MX records vary between domain hosts. Contact your domain host if you need help adding the Google Workspace MX records.\xa0To connect Google Workspace for a domain connected via pointing:Log in to your domain host account where your DNS records are managed.\xa0Add the following MX records to your DNS settings:Tip:View Google's list of host-specific directions for adding Google Workspace MX records.\xa0Name/Host/AliasTime to Live (TTL*)Record TypePriorityValue/Answer/DestinationB""]",9.170983791351318
I cant access my old email address to change my password. I have a recovery phone number added to my Wix account.,"Since you don't know your original email address, and you've forgotten your password, the answer is ""I don't know.""","["" changing the email address of your Wix account.\xa0I've forgotten which email address I used for my Wix accountIf you're not sure which email address you used for your Wix account, you can use the Wix Account Recovery page. Enter your website URL and up to 3 possible email addresses you may have used and we'll help you locate your account.I no longer have access to the email address I used to create my accountIf you know the email address and password associated with your account, you can sign in and change the email address. However, if you are unable to log in at all, you can recover your account in 2 ways:\nUsing your recovery phone number Filling out the Wix Account Recovery formI can't change my email address because I've forgotten my passwordIf you know the original email address of you"", ""Email?.\nSelect Can't access my login email. Click Next. Enter the email address associated with your Wix account.\xa0 Click Next. Select Send me a code to my phone number ending with XXXX and click Next. Enter the one-time verification code sent to your phone under Enter code here. Click Verify. Enter a new password and retype it. Click Save New Password.Tip:After you recover your account, you should change the email address of your account to one that you are able to access.Recovering your account without a Recovery Phone NumberThe privacy of our users is one of our top priorities.\xa0If you can't access the email account associated with your Wix account, and do not have a Recovery Phone Number enabled for your account, you'll need to fill out the Wix Account Recovery form. Wix can then check t""]",11.580928564071655
I couldn’t link PayPal to my site because the option to connect to PayPal was not available. I confirmed that I have a PayPal Business account and adjusted my business location in the Wix dashboard.,"Since the question specifically mentions connecting to PayPal through Wix Stores, where it's mentioned that integration with PayPal Pro is currently not supported, I don't know how to provide an answer regarding connecting to PayPal without support for PayPal Pro.","["": Check your business location at the top right. If incorrect, click the drop-down menu to change it. Click Connect next to PayPal.\nDepending on whether you have a PayPal business account or need to create a new one, follow the steps:Have a PayPal business account\nEnter the email address associated with your PayPal business account.\xa0 Click Connect.\xa0 Sign in to PayPal and follow the on-screen instructions.\xa0 Click Go back to Wix.com to complete the connection.\xa0Don't have a PayPal business account\nClick Create PayPal account. Follow the instructions on PayPal to create a PayPal business account. Once your account is approved, go to\xa0Accept Payments in your site's dashboard and follow the steps under\xa0Have a PayPal Account.\xa0Accepting recurring paymentsApps such as Wix Video and Pricing Plans all"", 'Wix Stores Request: PayPal Pro Integration\nCurrently, integration with PayPal Pro is not supported in Wix Stores.\xa0We are always working to update and improve our products, and your feedback is greatly appreciated.\xa0']",9.614975214004517
I forgot the password for my second Gmail account for business and Im not able to reset it. I have an admin account as well. Can you guide me on how to reset the password for my second Gmail account?,"You're having trouble resetting your second Gmail account's password because of being an administrator, but unfortunately, I don't know how to proceed further with that information. You can try contacting Google support or checking their help center for more specific guidance on resetting the password for your business email account.","[""Google Workspace: Resetting a Workspace User's Password\nIf you are the admin of a business email account, you can reset a Workspace user's password if they misplace or forget their password.\xa0Only admins can do this.To reset the password of a Workspace user:\nGo to your Business Email page. Click the Show More \xa0icon next to the relevant business email. Click Manage at Google. Sign in to your Google Workspace account:\xa0\n    \nEnter your email address. Click Next. Enter the password. Click Sign In.\nNote: If you are signed in to another Google account, click the profile image or initial at the top right and select your account.   Click Users. Hover over the relevant user and click the Reset password icon . (Optional) Toggle off Automatically generate a password, and enter a new password to manual"", 'Google Workspace: Resetting Your Admin Password\nIf you need to reset your Google Workspace admin password, you can do so at any time.\xa0To reset the admin password for your Google Workspace business email:\nGo to Business Email in your Wix account. Click the More Actions icon \xa0next to the admin email. Click Reset admin password. Enter your new password. Confirm your new password. Click Reset Password.Note:If you are still unable to access your Google Workspace business email, click here for the Google Workspace Login Troubleshooter or click here for the Google Workspace Help article.']",12.280596256256104
"I have created pages in the Wix editor, but they are not showing up on the live site even though I have hit publish. I have made sure the pages are not hidden and they are published, but they are still not showing up on the live site.",I don't know if your pages are being added to your Wix site or if there's a problem with how the menu is being displayed or if you're using outdated browsers.,"['Wix Editor: Menu Issues\nYour Wix site\'s menu automatically displays every page added to your site except for pages you\'ve chosen to hide. View the most common menu issues and solutions below as well as frequently asked questions.To resolve issues with your site\'s menu click below:Menu missing on live siteIf you cannot view your menu on your live site, try the following:\nMake sure you\'ve added a menu to your site. Learn How If your menu is attached to the header or footer, or set to ""show on all pages,"" make sure you are not hiding the header and footer:\xa0\n    \nClick\xa0Menus &\xa0Pages\xa0\xa0on the left side of the Editor. \xa0 Click the relevant page that isn\'t displaying your menu. Click the Show More icon . Click Settings . Click Layouts. Select Standard.   Click Publish at the top right of the Editor', ""Wix Editor: Differences in Live Site and Editor\nYou may notice differences between your live site and the editor.\xa0In most cases, this occurs when you have saved changes in the editor but not yet published them. Make sure to click Publish in your editor to check if this is the reason for the differences.\xa0If you are still unable to see the changes on your live site, follow the steps below.Important:Make sure you're also using a supported browser. Outdated browsers such as Internet Explorer 10 may display rendering issues between your editor and the live site.\xa0Changes in the editor missing on the live siteIf you've made changes in your editor that do not appear on your live site:\nClick Publish in your editor, then check your live site to see if it has updated.\xa0 If you're receiving an error wh""]",12.191707134246826
I have not received my payment in my bank account yet.,You haven't received your payment in your bank account yet.,"['ur account. You cannot accept payments.', 'your payment details. Click\xa0Submit Purchase.']",2.43384861946106
I need assistance with creating custom hours for a staff member in the work schedule.,"You need to repeat steps 3-10 to create additional custom work hours for the same staff member, but you haven't provided any information about the existing custom working hours.","['ernity leave cover.\xa0 Click the\xa0Repeats\xa0drop-down and choose the relevant option.\xa0 Click to select all relevant days of the week that the custom hours apply to.\xa0 Enter the start and end times in the fields provided. Choose the relevant location from the\xa0Location\xa0drop-down.\xa0 Click\xa0Save.\nNote:\xa0A summary of the custom working hours appears as you fill out the details.\xa0 (Optional) Repeat steps 3-10 to create additional custom work hours for the same staff member.\nTip: This is useful if your staff member is available in different hours / locations on different days, or if they change location during the day.\n\n(Optional) Repeat steps 3-10 to create additional custom work hours for the same staff member. \nTip: This is useful if your staff member is available in different hours / locations on diffe', ""urs to make the staff member's hours different than the business's default hours.\n            \nSelect the checkbox next to the day(s) you offer the service. Enter a start time. Enter your end time (e.g. 2:00 AM). (Optional) Add an additional time period for the same day:Click the + icon.\n                \nEnter a start and end time. (e.g. 4:00 PM - 7:00 PM). Repeat for all other work days.         Click Save.""]",9.528549909591677
I need help managing the categories my booking services are in on my Wix website.,"To manage the categories for your booking services, you can follow these steps:

1. Go to Booking Services in your site's dashboard.
2. Click Manage Categories and then click + Add New Category.
3. Enter the category name (e.g., ""Massage Therapy"").
4. Choose the correct category from the dropdown menu.

By following these steps, you should be able to create a new category for your booking services.","[""Wix Bookings: Managing Services and Categories\nThe Services tab in your site's dashboard displays all your offerings in one location. Search the list by service, filter by category, and reorder your services to suit your needs. You can also customize this table to show as many details as you like.Group similar services into categories to make it easier for clients to find and book them on your site.\xa0In this article, learn more about:\nCreating categories Assigning a service to a category Reordering your services and categories Renaming categories Deleting a category Changing the view and filters on your Service ListCreating categoriesAdding categories is a great way of keeping your site organized and helping your clients find the services they need.\xa0To create a category:\nGo to Booking Servi"", ""ized and helping your clients find the services they need.\xa0To create a category:\nGo to Booking Services in your site's dashboard. Click Manage Categories. Click + Add New Category. Enter the Category Name. Click Add to save.Assigning a service to a new categoryWhen you create a new service or edit an existing one, make sure to add it to the right category. This helps your clients find the service they're looking for.\xa0Note:You can assign a service to only one category at a time.To assign a service to a category:\nGo to Booking Services\xa0in your site's dashboard. Select the service you want to assign to a category. Click the\xa0Service category\xa0drop-down and choose the relevant category. Click\xa0Save.Reordering your services and categoriesYou can rearrange the order your categories appear in on you""]",14.643949031829834
